PAIS,SEXO,AÑO,OBS_VALUE,OECD
Germany,Total,2017,81.1,NO
Germany,Total,2016,81,NO
Germany,Total,2015,80.7,NO
Germany,Female,2022,83,NO
Germany,Female,2021,83.3,NO
Germany,Female,2020,83.5,NO
Germany,Male,2022,78.3,NO
Greece,Female,2018,84.4,NO
Greece,Female,2017,83.9,NO
Greece,Female,2016,84,NO
Greece,Total,2019,81.7,NO
Greece,Total,2018,81.9,NO
Greece,Total,2017,81.4,NO
Greece,Total,2016,81.5,NO
Greece,Total,2015,81.1,NO
Greece,Female,2015,83.7,NO
Greece,Male,2023,79,NO
Greece,Male,2022,78.3,NO
Greece,Male,2021,77.4,NO
Greece,Male,2020,78.8,NO
Greece,Male,2019,79.2,NO
Greece,Male,2018,79.3,NO
Greece,Male,2017,78.8,NO
Greece,Male,2016,78.9,NO
Greece,Male,2015,78.5,NO
Greece,Total,2023,81.6,NO
Greece,Total,2022,80.8,NO
Greece,Total,2021,80.2,NO
Greece,Total,2020,81.4,NO
Greece,Female,2023,84.2,NO
Greece,Female,2022,83.4,NO
Greece,Female,2021,82.9,NO
Greece,Female,2020,83.9,NO
Hungary,Male,2018,72.7,NO
Hungary,Male,2017,72.5,NO
Hungary,Male,2016,72.6,NO
Hungary,Female,2019,79.7,NO
Hungary,Female,2018,79.6,NO
Hungary,Female,2017,79.3,NO
Hungary,Female,2016,79.7,NO
Hungary,Female,2015,79,NO
Hungary,Male,2015,72.3,NO
Hungary,Total,2023,76.9,NO
Hungary,Total,2022,76,NO
Hungary,Total,2021,74.3,NO
Hungary,Total,2020,75.7,NO
Hungary,Total,2019,76.5,NO
Hungary,Total,2018,76.2,NO
Hungary,Total,2017,76,NO
Hungary,Total,2016,76.2,NO
Hungary,Total,2015,75.7,NO
Hungary,Female,2023,80.1,NO
Hungary,Female,2022,79.3,NO
Hungary,Female,2021,77.8,NO
Hungary,Female,2020,79,NO
Hungary,Male,2023,73.6,NO
Hungary,Male,2022,72.6,NO
Hungary,Male,2021,70.7,NO
Hungary,Male,2020,72.3,NO
Iceland,Male,2018,81.3,NO
Iceland,Male,2017,81.1,NO
Iceland,Male,2016,80.4,NO
Iceland,Female,2019,84.7,NO
Iceland,Female,2018,84.5,NO
Iceland,Female,2017,84.3,NO
Iceland,Female,2016,84.1,NO
Iceland,Female,2015,83.8,NO
Iceland,Male,2015,81.2,NO
Iceland,Total,2023,82.6,NO
Iceland,Total,2022,82.1,NO
Iceland,Total,2021,83.2,NO
Iceland,Total,2020,83.1,NO
Iceland,Total,2019,83.2,NO
Iceland,Total,2018,82.9,NO
Iceland,Total,2017,82.6,NO
Iceland,Total,2016,82.2,NO
Iceland,Total,2015,82.5,NO
Iceland,Female,2023,84.4,NO
Iceland,Female,2022,83.4,NO
Iceland,Female,2021,84.6,NO
Iceland,Female,2020,84.6,NO
Iceland,Male,2023,80.9,NO
Iceland,Male,2022,80.9,NO
Iceland,Male,2021,81.8,NO
Iceland,Male,2020,81.6,NO
Ireland,Female,2020,84.4,NO
Ireland,Female,2019,84.7,NO
Ireland,Female,2018,84.1,NO
Ireland,Male,2019,80.8,NO
Ireland,Male,2018,80.4,NO
Ireland,Male,2017,80.4,NO
Ireland,Male,2016,79.8,NO
Ireland,Male,2015,79.6,NO
Ireland,Female,2017,84,NO
Ireland,Female,2016,83.6,NO
Ireland,Female,2015,83.4,NO
Ireland,Total,2022,82.6,NO
Ireland,Total,2021,82.4,NO
Ireland,Total,2020,82.6,NO
Ireland,Total,2019,82.8,NO
Ireland,Total,2018,82.2,NO
Ireland,Total,2017,82.2,NO
Ireland,Total,2016,81.7,NO
Ireland,Total,2015,81.5,NO
Ireland,Male,2022,80.9,NO
Ireland,Male,2021,80.5,NO
Ireland,Male,2020,80.8,NO
Ireland,Female,2022,84.2,NO
Israel,Male,2020,80.6,NO
Israel,Male,2019,81,NO
Israel,Male,2018,80.9,NO
Israel,Total,2019,82.9,NO
Israel,Total,2018,82.9,NO
Israel,Total,2017,82.7,NO
Israel,Total,2016,82.5,NO
Israel,Total,2015,82.2,NO
Israel,Male,2017,80.6,NO
Israel,Male,2016,80.7,NO
Israel,Male,2015,80.1,NO
Israel,Female,2022,84.8,NO
Israel,Female,2021,84.6,NO
Israel,Female,2020,84.8,NO
Israel,Female,2019,84.7,NO
Israel,Female,2018,84.8,NO
Israel,Female,2017,84.6,NO
Israel,Female,2016,84.2,NO
Israel,Female,2015,84.1,NO
Israel,Total,2022,82.8,NO
Israel,Total,2021,82.6,NO
Israel,Total,2020,82.7,NO
Israel,Male,2022,80.7,NO
Italy,Male,2018,81.2,NO
Italy,Male,2017,80.8,NO
Italy,Male,2016,81,NO
Italy,Female,2019,85.7,NO
Italy,Female,2018,85.6,NO
Italy,Female,2017,85.2,NO
Italy,Female,2016,85.6,NO
Italy,Female,2015,84.9,NO
Italy,Male,2015,80.3,NO
Italy,Total,2023,83.8,NO
Italy,Total,2022,82.8,NO
Italy,Total,2021,82.7,NO
Italy,Total,2020,82.3,NO
Italy,Total,2019,83.6,NO
Italy,Total,2018,83.4,NO
Italy,Total,2017,83.1,NO
Italy,Total,2016,83.4,NO
Italy,Total,2015,82.7,NO
Italy,Female,2023,85.8,NO
Italy,Female,2022,84.8,NO
Italy,Female,2021,84.9,NO
Italy,Female,2020,84.5,NO
Italy,Male,2023,81.7,NO
Italy,Male,2022,80.7,NO
Italy,Male,2021,80.5,NO
Italy,Male,2020,80,NO
Japan,Total,2020,84.6,NO
Japan,Total,2019,84.4,NO
Japan,Total,2018,84.3,NO
Japan,Male,2019,81.4,NO
Japan,Male,2018,81.3,NO
Japan,Male,2017,81.1,NO
Japan,Male,2016,81,NO
Japan,Male,2015,80.8,NO
Japan,Total,2017,84.2,NO
Japan,Total,2016,84.1,NO
Japan,Total,2015,83.9,NO
Japan,Female,2022,87.1,NO
Japan,Female,2021,87.6,NO
Japan,Female,2020,87.7,NO
Japan,Female,2019,87.4,NO
Japan,Female,2018,87.3,NO
Japan,Female,2017,87.3,NO
Japan,Female,2016,87.1,NO
Japan,Female,2015,87,NO
Japan,Male,2022,81.1,NO
Japan,Male,2021,81.5,NO
Japan,Male,2020,81.6,NO
Japan,Total,2022,84.1,NO
Korea,Female,2020,86.5,NO
Korea,Female,2019,86.3,NO
Korea,Female,2018,85.7,NO
Korea,Total,2019,83.3,NO
Korea,Total,2018,82.7,NO
Korea,Total,2017,82.7,NO
Korea,Total,2016,82.4,NO
Korea,Total,2015,82.1,NO
Korea,Female,2017,85.7,NO
Korea,Female,2016,85.4,NO
Korea,Female,2015,85.2,NO
Korea,Male,2022,79.9,NO
Korea,Male,2021,80.6,NO
Korea,Male,2020,80.5,NO
Korea,Male,2019,80.3,NO
Korea,Male,2018,79.7,NO
Korea,Male,2017,79.7,NO
Korea,Male,2016,79.3,NO
Korea,Male,2015,79,NO
Korea,Total,2022,82.7,NO
Korea,Total,2021,83.6,NO
Korea,Total,2020,83.5,NO
Korea,Female,2022,85.6,NO
Latvia,Female,2018,79.7,NO
Latvia,Female,2017,79.7,NO
Latvia,Female,2016,79.6,NO
Latvia,Total,2019,75.7,NO
Latvia,Total,2018,75.1,NO
Latvia,Total,2017,74.9,NO
Latvia,Total,2016,74.9,NO
Latvia,Total,2015,74.8,NO
Latvia,Female,2015,79.5,NO
Latvia,Male,2023,70.8,NO
Latvia,Male,2022,69.4,NO
Latvia,Male,2021,68.2,NO
Latvia,Male,2020,70.6,NO
Latvia,Male,2019,70.9,NO
Latvia,Male,2018,70.1,NO
Latvia,Male,2017,69.8,NO
Latvia,Male,2016,69.8,NO
Latvia,Male,2015,69.7,NO
Latvia,Total,2023,75.9,NO
Latvia,Total,2022,74.5,NO
Latvia,Total,2021,73.1,NO
Latvia,Total,2020,75.5,NO
Latvia,Female,2023,80.8,NO
Latvia,Female,2022,79.4,NO
Latvia,Female,2021,78,NO
Latvia,Female,2020,80,NO
Lithuania,Male,2018,70.9,NO
Lithuania,Male,2017,70.7,NO
Lithuania,Male,2016,69.5,NO
Lithuania,Female,2019,81.2,NO
Lithuania,Female,2018,80.7,NO
Lithuania,Female,2017,80.5,NO
Lithuania,Female,2016,80.1,NO
Lithuania,Female,2015,79.7,NO
Lithuania,Male,2015,69.2,NO
Lithuania,Total,2023,77.3,NO
Lithuania,Total,2022,75.8,NO
Lithuania,Total,2021,74.2,NO
Lithuania,Total,2020,75.1,NO
Lithuania,Total,2019,76.5,NO
Lithuania,Total,2018,76,NO
Lithuania,Total,2017,75.8,NO
Lithuania,Total,2016,74.9,NO
Lithuania,Total,2015,74.6,NO
Lithuania,Female,2023,81.7,NO
Lithuania,Female,2022,80.1,NO
Lithuania,Female,2021,78.8,NO
Lithuania,Female,2020,80.1,NO
Lithuania,Male,2023,72.5,NO
Lithuania,Male,2022,71.4,NO
Lithuania,Male,2021,69.5,NO
Lithuania,Male,2020,70.1,NO
Luxembourg,Male,2018,80.1,NO
Luxembourg,Male,2017,79.9,NO
Luxembourg,Male,2016,80.1,NO
